Race Name,Distance,Street,Road,Paved,Asphalt,Path,Cycleway,Unpaved,State Road,Cobblestones,Unknown,Compacted Gravel,Off-grid (unknown),Singletrack,Access Road,Alpine,Net Gain,Lowest Elevation,Highest Elevation,Vertical Gain,Downhill
2022 Grand Prix d'Isbergues - Pas de Calais,197.331,48.1,121,59,138,,0.731,,27.5,,,,,,,,-10,17,195,1020,1030
2022 Grand Prix de la Somme Conseil Departemental 80,171.69,13.2,134,25.6,146,,2.29,,22.2,,,,,,,,10,2,114,1180,1170
2022 Grand Prix de la ville de Perenchies,178.41,3.54,164,29.5,141,,6.65,,4.22,6.97,,,,,,,,18,48,540,540
2022 Grand Prix de Wallonie,201.93,10.4,156,7.54,192,,9.93,,25.6,2.11,,,,,,,-20,80,531,2680,2700
2022 Grand Prix Develi,111.672,,81.7,,111,,,,29.4,,0.572,,0.572,,,,30,1072,1192,380,350
2022 Grand Prix Erciyes,144.148,,49.1,2.04,142,,,,94.7,,0.348,,0.348,,,,,1064,1419,1180,1180
2022 Grand Prix International d'Isbergues - Pas de Calais Feminin,124.531,17.3,90.4,25,99.5,,0.731,,16.1,,,,,,,,,17,194,840,840
2022 Grand Prix International de la ville de Nogent-sur-Oise,174,,135,2.01,172,,17.3,,21.7,,,,,,,,,27,116,1150,1150
2022 Grand Prix Kapuzbasi,119.295,0.907,108,5.88,113,,,,10.2,,0.188,,0.188,,,,-20,1125,1584,1430,1450
2022 Grand Prix Kayseri,131.163,2.16,18.9,2.08,129,0.103,,0.103,110,,,,,,,,1010,1026,2083,1910,900
2022 Grand Prix Ruebliland Stage 1,93.5,,53.9,4.93,88.6,,12.8,,26.8,,,,,,,,,335,534,1100,1100
2022 Grand Prix Ruebliland Stage 2-1,77.48,0.19,48.3,,77.5,,2.29,,26.7,,,,,,,,,409,518,690,690
2022 Grand Prix Ruebliland Stage 2-2,55.621,0.921,54.7,2.89,52.7,,,,,,,,,,,,,436,518,550,550
2022 Grand Prix Ruebliland Stage 3,107.3,2.07,100,15.7,88.9,2.68,1.13,2.68,1.42,,,,,,,,,378,723,1440,1440
2022 Grand Prix Tomarza,133.703,,107,,134,,,,26.5,,0.203,,0.203,,,,320,1076,1580,1150,830
2022 Grand Prix Yahyali,122.5,,92.8,,121,,,,28.7,,1,,1,,,,,1072,1258,490,490
2022 Grisette Grand Prix de Wallonie,136.5,9.72,111,5.74,129,,8.68,,7.1,2.11,,,,,,,-60,80,329,1640,1700
2022 Grote prijs Beerens,130.206,34.1,62.9,65.1,59.2,0.76,30.9,0.218,,3.32,2.47,,1.43,,0.116,,,3,28,380,380
2022 Grote Prijs Rik Van Looy,190.659,24.1,67.3,119,59,0.609,89.1,,8.53,11.6,1.02,,1.02,,,,10,5,20,390,380
2022 Grote Prijs Yvonne Reynders,124,35.5,59.6,113,7.41,,28.9,,,3.68,,,,,,,,8,19,220,220
2022 Groupama Ladies Race Slovakia,90.008,10.8,77.4,22.1,66.4,1.51,,,0.298,,1.54,,,,,,10,196,467,1440,1430
2022 Gylne Gutuer,164.65,4.15,144,13.5,92.8,2.9,,4.35,13.6,,1.38,52.5,,,,,30,139,260,1240,1210
2022 Il Lombardia,253.41,1.84,214,2.48,247,1.08,3.11,,30.8,0.641,3.17,,2.58,,,,-60,199,1070,5230,5290
2022 Il Piccolo Lombardia,168.41,1.23,140,18.2,148,,,,24.9,,2.28,,2.28,,,,-10,201,755,2400,2410
2022 In the footsteps of the Romans Stage 1,134.4,3.4,131,87.2,47.7,,,,,,,,,,,,,780,908,1240,1240
2022 In the footsteps of the Romans Stage 2,138.38,8.38,130,92.7,42.8,,,,,,2.61,,,,,,-110,705,931,1510,1620
2022 Japan Cup Cycle Road Race,145,,121,54.2,90.5,,,,24,,,,,,,,-10,160,331,2660,2670
2022 Junioren Rundfahrt Stage 1-1,2.903,0.333,2.57,2.9,,,,,,,,,,,,,,274,314,40,40
2022 Junioren Rundfahrt Stage 1-2,89.048,6.76,81.9,4.5,84.2,,0.388,0.351,,,,,,,,,20,271,431,670,650
2022 Junioren Rundfahrt Stage 2,102.53,4.64,56.5,5.26,97.2,,1.39,,40,,,,,,,,,443,623,1240,1240
2022 Junioren Rundfahrt Stage 3,109.28,10.1,94.4,30.7,78.6,,,,4.78,,,,,,,,210,352,677,1360,1150
2022 Kampioenschap van Vlaanderen,196.18,28.3,62.7,87.2,109,,96.7,,8.48,,,,,,,,-10,23,45,670,680
2022 Keizer der Juniores Stage 1,108.4,7.88,58.8,38.6,64.9,,32.1,,9.62,4.86,,1.11,,1.11,,,10,7,82,470,460
2022 Keizer der Juniores Stage 2-1,5.935,,5.24,5.24,0.695,,0.695,,,,,,,,,,10,-1,1,10,
2022 Keizer der Juniores Stage 2-2,98.78,56,22.6,53.8,45,,13.4,,6.78,,,,,,,,,5,20,290,290
2022 Konvert Kortrijk Koerse,126.79,22.4,38.4,35.6,88.1,,64.4,,,1.56,1.59,,1.59,,,,,15,65,720,720
2022 Kreiz Breizh Elites Feminin,132.04,12.4,110,31.5,101,,3.38,,6.26,0.207,,,,,,,-120,10,292,1370,1490
